country,year,week,temperature,humidity,rainfall,pressure,wind_speed
India,2020,1,19.9,56.6,12.5,1013.6,5.0
India,2020,2,19.2,47.1,1.4,1011.8,4.4
India,2020,3,22.8,48.3,7.0,1009.7,7.3
India,2020,4,19.2,44.0,2.6,1014.4,6.9
India,2020,5,22.6,43.1,14.1,1014.8,7.2
India,2020,6,22.0,40.4,6.1,1012.5,7.7
India,2020,7,20.8,38.1,2.9,1012.1,7.0
India,2020,8,21.6,35.6,12.4,1013.3,8.0
India,2020,9,21.9,30.4,10.5,1014.6,6.1
India,2020,10,23.1,30.0,8.4,1017.1,9.8
India,2020,11,25.3,31.3,4.1,1016.4,9.7
India,2020,12,29.2,37.5,8.7,1013.2,6.4
India,2020,13,26.7,31.6,11.0,1015.3,8.1
India,2020,14,28.7,39.5,13.1,1016.3,7.5
India,2020,15,26.4,33.8,10.9,1016.2,6.8
India,2020,16,30.3,33.1,13.6,1014.0,7.1
India,2020,17,31.1,35.7,14.4,1014.3,2.8
India,2020,18,30.3,41.7,14.4,1015.4,9.8
India,2020,19,33.0,44.8,14.3,1012.4,8.6
India,2020,20,34.2,49.1,21.2,1014.9,8.9
India,2020,21,31.5,53.0,24.8,1014.4,7.6
India,2020,22,33.2,49.3,41.5,1012.8,4.2
India,2020,23,35.7,56.0,60.4,1012.0,3.9
India,2020,24,33.9,53.6,81.9,1010.0,2.5
India,2020,25,34.8,53.1,96.2,1013.3,5.2
India,2020,26,34.1,56.9,114.1,1012.6,5.5
India,2020,27,33.3,61.2,135.1,1005.3,4.2
India,2020,28,34.6,66.8,147.6,1006.7,4.2
India,2020,29,35.6,74.1,155.7,1009.7,3.1
India,2020,30,33.6,71.6,156.2,1005.5,6.1
India,2020,31,34.9,73.3,154.4,1006.1,1.0
India,2020,32,33.7,81.3,147.0,1003.4,2.9
India,2020,33,34.4,85.2,130.2,1006.8,3.3
India,2020,34,33.7,85.5,112.2,1001.5,2.9
India,2020,35,31.8,81.6,88.9,1006.3,3.5
India,2020,36,33.6,86.2,71.5,1005.8,1.0
India,2020,37,28.2,83.9,58.3,1006.4,4.0
India,2020,38,30.8,85.8,40.4,1004.7,1.2
India,2020,39,27.9,83.4,34.0,1004.9,2.7
