country,disease,year,week,cases,deaths
India,Dengue,2020,1,6753,1
India,Cholera,2020,1,7480,110
India,Malaria,2020,1,8517,35
India,Measles,2020,1,196265,1968
India,Yellow Fever,2020,1,7854,623
India,Dengue,2020,2,5084,2
India,Cholera,2020,2,6193,98
India,Malaria,2020,2,7932,16
India,Measles,2020,2,246781,2378
India,Yellow Fever,2020,2,7617,625
India,Dengue,2020,3,5355,2
India,Cholera,2020,3,11022,149
India,Malaria,2020,3,8776,30
India,Measles,2020,3,208550,2078
India,Yellow Fever,2020,3,7328,574
India,Dengue,2020,4,4587,1
India,Cholera,2020,4,7910,114
India,Malaria,2020,4,8343,19
India,Measles,2020,4,336155,3408
India,Yellow Fever,2020,4,8467,683
India,Dengue,2020,5,6171,4
India,Cholera,2020,5,9204,145
India,Malaria,2020,5,7564,22
India,Measles,2020,5,299893,2972
India,Yellow Fever,2020,5,8562,682
India,Dengue,2020,6,8726,7
India,Cholera,2020,6,6334,75
India,Malaria,2020,6,7812,28
India,Measles,2020,6,649132,6470
India,Yellow Fever,2020,6,6621,507
India,Dengue,2020,7,7658,4
India,Cholera,2020,7,5749,102
India,Malaria,2020,7,9074,24
India,Measles,2020,7,532464,5237
India,Yellow Fever,2020,7,5679,481
India,Dengue,2020,8,7075,2
India,Cholera,2020,8,8704,123
India,Malaria,2020,8,8150,23
India,Measles,2020,8,737068,7240
India,Yellow Fever,2020,8,10189,829
India,Dengue,2020,9,7756,5
India,Cholera,2020,9,7964,117
India,Malaria,2020,9,6857,15
India,Measles,2020,9,766043,7672
India,Yellow Fever,2020,9,7873,641
India,Dengue,2020,10,5856,5
India,Cholera,2020,10,7440,102
India,Malaria,2020,10,7576,18
India,Measles,2020,10,802721,7997
India,Yellow Fever,2020,10,6073,489
India,Dengue,2020,11,5922,3
India,Cholera,2020,11,7686,97
India,Malaria,2020,11,8418,23
India,Measles,2020,11,5825,44
India,Yellow Fever,2020,11,5929,467
India,Dengue,2020,12,7769,7
India,Cholera,2020,12,6909,121
India,Malaria,2020,12,8134,30
India,Measles,2020,12,5885,70
India,Yellow Fever,2020,12,4938,383
India,Dengue,2020,13,5465,5
India,Cholera,2020,13,8321,120
India,Malaria,2020,13,8596,23
India,Measles,2020,13,7815,63
India,Yellow Fever,2020,13,7813,636
India,Dengue,2020,14,8160,3
India,Cholera,2020,14,7319,102
India,Malaria,2020,14,5872,18
India,Measles,2020,14,8057,80
India,Yellow Fever,2020,14,4800,388
India,Dengue,2020,15,7392,1
India,Cholera,2020,15,10470,184
India,Malaria,2020,15,9697,26
India,Measles,2020,15,6147,72
India,Yellow Fever,2020,15,8293,617
India,Dengue,2020,16,6159,3
India,Cholera,2020,16,8425,117
India,Malaria,2020,16,8879,30
India,Measles,2020,16,10092,109
India,Yellow Fever,2020,16,8548,670
India,Dengue,2020,17,5633,1
India,Cholera,2020,17,4258,60
India,Malaria,2020,17,5243,17
India,Measles,2020,17,8733,83
India,Yellow Fever,2020,17,7100,543
India,Dengue,2020,18,5331,2
India,Cholera,2020,18,8058,114
India,Malaria,2020,18,7186,28
India,Measles,2020,18,7483,71
India,Yellow Fever,2020,18,6203,506
India,Dengue,2020,19,7520,5
India,Cholera,2020,19,6193,85
India,Malaria,2020,19,8327,29
India,Measles,2020,19,7055,70
India,Yellow Fever,2020,19,7251,559
India,Dengue,2020,20,7115,3
India,Cholera,2020,20,6746,86
India,Malaria,2020,20,8295,18
India,Measles,2020,20,7544,93
India,Yellow Fever,2020,20,6901,573
India,Dengue,2020,21,7975,1
India,Cholera,2020,21,6094,76
India,Malaria,2020,21,7073,27
India,Measles,2020,21,5915,53
India,Yellow Fever,2020,21,6630,565
India,Dengue,2020,22,432605,246
India,Cholera,2020,22,6067,97
India,Malaria,2020,22,6783,19
India,Measles,2020,22,6657,78
India,Yellow Fever,2020,22,7079,568
India,Dengue,2020,23,587602,311
India,Cholera,2020,23,7184,107
India,Malaria,2020,23,8479,26
India,Measles,2020,23,9141,95
India,Yellow Fever,2020,23,8444,671
India,Dengue,2020,24,628870,341
India,Cholera,2020,24,685440,10197
India,Malaria,2020,24,7599,18
India,Measles,2020,24,5214,64
India,Yellow Fever,2020,24,9680,776
India,Dengue,2020,25,887764,457
India,Cholera,2020,25,713387,10693
India,Malaria,2020,25,7513,30
India,Measles,2020,25,6447,74
India,Yellow Fever,2020,25,7968,583
India,Dengue,2020,26,692102,346
India,Cholera,2020,26,937690,14032
India,Malaria,2020,26,8719,25
India,Measles,2020,26,7999,81
India,Yellow Fever,2020,26,9024,731
India,Dengue,2020,27,904354,450
India,Cholera,2020,27,1084108,16516
India,Malaria,2020,27,7554,30
India,Measles,2020,27,4671,39
India,Yellow Fever,2020,27,7006,590
India,Dengue,2020,28,1610440,808
India,Cholera,2020,28,794598,11952
India,Malaria,2020,28,220980,647
India,Measles,2020,28,6300,54
India,Yellow Fever,2020,28,5388,464
India,Dengue,2020,29,1237670,621
India,Cholera,2020,29,1256925,18793
India,Malaria,2020,29,390805,1178
India,Measles,2020,29,11448,109
India,Yellow Fever,2020,29,8671,719
India,Dengue,2020,30,1639196,855
India,Cholera,2020,30,1313870,19842
India,Malaria,2020,30,818049,2438
India,Measles,2020,30,4373,48
India,Yellow Fever,2020,30,8419,671
India,Dengue,2020,31,1706889,839
India,Cholera,2020,31,1259606,18945
India,Malaria,2020,31,995863,3043
India,Measles,2020,31,6146,64
India,Yellow Fever,2020,31,7894,654
India,Dengue,2020,32,1091353,533
India,Cholera,2020,32,576851,8681
India,Malaria,2020,32,1220554,3689
India,Measles,2020,32,7903,72
India,Yellow Fever,2020,32,6797,587
India,Dengue,2020,33,1115156,560
India,Cholera,2020,33,621436,9390
India,Malaria,2020,33,1499729,4457
India,Measles,2020,33,4197,34
India,Yellow Fever,2020,33,5657,430
India,Dengue,2020,34,1213497,655
India,Cholera,2020,34,443797,6624
India,Malaria,2020,34,1190825,3558
India,Measles,2020,34,8262,74
India,Yellow Fever,2020,34,5872,455
India,Dengue,2020,35,1018076,519
India,Cholera,2020,35,323429,4892
India,Malaria,2020,35,1287013,3911
India,Measles,2020,35,8012,76
India,Yellow Fever,2020,35,7006,565
India,Dengue,2020,36,690331,354
India,Cholera,2020,36,9343,118
India,Malaria,2020,36,1050927,3053
India,Measles,2020,36,10682,118
India,Yellow Fever,2020,36,7827,610
India,Dengue,2020,37,398516,212
India,Cholera,2020,37,5490,80
India,Malaria,2020,37,1051706,3173
